"Date","Value"
"31-01-1997","5.9005"
"28-02-1997","5.985"
"31-03-1997","5.9651"
"30-04-1997","5.9618"
"31-05-1997","6.2154"
"30-06-1997","6.2227"
"31-07-1997","6.5192"
"31-08-1997","6.9488"
"30-09-1997","6.9772"
"31-10-1997","7.1462"
"30-11-1997","7.2269"
"31-12-1997","7.1379"
"31-01-1998","7.2679"
"28-02-1998","7.3406"
"31-03-1998","7.4033"
"30-04-1998","7.2519"
"31-05-1998","7.2596"
"30-06-1998","7.1409"
"31-07-1998","7.3283"
"31-08-1998","7.5309"
"30-09-1998","7.279"
"31-10-1998","7.5534"
"30-11-1998","6.8577"
"31-12-1998","6.375"
"31-01-1999","5.9922"
"28-02-1999","5.7693"
"31-03-1999","5.5665"
"30-04-1999","5.3295"
"31-05-1999","5.2689"
"30-06-1999","4.8972"
"31-07-1999","4.997"
"31-08-1999","4.8419"
"30-09-1999","4.919"
"31-10-1999","5.0623"
"30-11-1999","5.2513"
"31-12-1999","4.7814"
"31-01-2000","5.3527"
"29-02-2000","5.8408"
"31-03-2000","5.762"
"30-04-2000","5.9347"
"31-05-2000","5.9122"
"30-06-2000","5.9032"
"31-07-2000","5.9867"
"31-08-2000","5.8846"
"30-09-2000","6.1259"
"31-10-2000","5.8135"
"30-11-2000","5.9811"
"31-12-2000","5.7383"
"31-01-2001","5.9208"
"28-02-2001","5.8447"
"31-03-2001","5.4017"
"30-04-2001","5.3159"
"31-05-2001","5.5203"
"30-06-2001","4.7796"
"31-07-2001","5.2943"
"31-08-2001","4.8046"
"30-09-2001","4.8526"
"31-10-2001","4.5973"
"30-11-2001","3.5761"
"31-12-2001","4.5841"
"31-01-2002","3.7685"
"28-02-2002","4.0574"
"31-03-2002","4.0431"
"30-04-2002","3.752"
"31-05-2002","3.9273"
"30-06-2002","3.5006"
"31-07-2002","3.861"
"31-08-2002","4.1371"
"30-09-2002","3.8711"
"31-10-2002","4.0884"
"30-11-2002","3.6521"
"31-12-2002","4.3953"
"31-01-2003","3.8044"
"28-02-2003","3.7243"
"31-03-2003","3.9196"
"30-04-2003","3.619"
"31-05-2003","3.6875"
"30-06-2003","3.6535"
"31-07-2003","3.2923"
"31-08-2003","3.5053"
"30-09-2003","3.5179"
"31-10-2003","3.355"
"30-11-2003","3.5483"
"31-12-2003","3.7778"
"31-01-2004","3.7159"
"29-02-2004","4.0873"
"31-03-2004","3.904"
"30-04-2004","3.8914"
"31-05-2004","4.203"
"30-06-2004","4.3628"
"31-07-2004","4.4623"
"31-08-2004","4.63"
"30-09-2004","4.7314"
"31-10-2004","4.7297"
"30-11-2004","4.7408"
"31-12-2004","4.7618"
"31-01-2005","4.7599"
"28-02-2005","4.816"
"31-03-2005","4.7618"
"30-04-2005","4.8125"
"31-05-2005","4.7079"
"30-06-2005","4.7935"
"31-07-2005","4.7546"
"31-08-2005","4.5775"
"30-09-2005","4.5499"
"31-10-2005","4.4246"
"30-11-2005","4.5458"
"31-12-2005","4.6381"
"31-01-2006","4.4829"
"28-02-2006","4.4255"
"31-03-2006","4.5402"
"30-04-2006","4.4928"
"31-05-2006","4.5093"
"30-06-2006","4.5712"
"31-07-2006","4.5459"
"31-08-2006","4.8026"
"30-09-2006","4.7892"
"31-10-2006","4.8255"
"30-11-2006","4.9968"
"31-12-2006","5.0844"
"31-01-2007","5.2231"
"28-02-2007","5.3183"
"31-03-2007","5.3032"
"30-04-2007","5.2915"
"31-05-2007","5.4778"
"30-06-2007","5.6093"
"31-07-2007","5.8434"
"31-08-2007","5.9127"
"30-09-2007","5.8246"
"31-10-2007","5.7751"
"30-11-2007","5.7892"
"31-12-2007","5.5964"
"31-01-2008","5.5049"
"29-02-2008","5.3322"
"31-03-2008","5.3078"
"30-04-2008","5.08"
"31-05-2008","5.0314"
"30-06-2008","5.0326"
"31-07-2008","5.0099"
"31-08-2008","4.997"
"30-09-2008","4.8925"
"31-10-2008","4.4115"
"30-11-2008","2.7846"
"31-12-2008","1.6525"
"31-01-2009","1.326"
"28-02-2009","0.8973"
"31-03-2009","0.5224"
"30-04-2009","0.4099"
"31-05-2009","0.4133"
"30-06-2009","0.4158"
"31-07-2009","0.4173"
"31-08-2009","0.422"
"30-09-2009","0.4302"
"31-10-2009","0.4472"
"30-11-2009","0.4509"
"31-12-2009","0.4492"
"31-01-2010","0.4545"
"28-02-2010","0.4672"
"31-03-2010","0.4713"
"30-04-2010","0.4726"
"31-05-2010","0.4842"
"30-06-2010","0.487"
"31-07-2010","0.49"
"31-08-2010","0.491"
"30-09-2010","0.501"
"31-10-2010","0.5083"
"30-11-2010","0.5086"
"31-12-2010","0.5173"
"31-01-2011","0.5059"
"28-02-2011","0.5084"
"31-03-2011","0.5154"
"30-04-2011","0.524"
"31-05-2011","0.5217"
"30-06-2011","0.5311"
"31-07-2011","0.5228"
"31-08-2011","0.538"
"30-09-2011","0.5486"
"31-10-2011","0.5358"
"30-11-2011","0.5347"
"31-12-2011","0.5201"
"31-01-2012","0.5157"
"29-02-2012","0.4993"
"31-03-2012","0.49"
"30-04-2012","0.4861"
"31-05-2012","0.4848"
"30-06-2012","0.4859"
"31-07-2012","0.4646"
"31-08-2012","0.45"
"30-09-2012","0.4271"
"31-10-2012","0.4334"
"30-11-2012","0.4256"
"31-12-2012","0.4309"
"31-01-2013","0.4097"
"28-02-2013","0.4261"
"31-03-2013","0.4353"
"30-04-2013","0.4396"
"31-05-2013","0.4336"
"30-06-2013","0.4252"
"31-07-2013","0.4301"
"31-08-2013","0.427"
"30-09-2013","0.4299"
"31-10-2013","0.4313"
"30-11-2013","0.43"
"31-12-2013","0.4215"
"31-01-2014","0.4287"
"28-02-2014","0.4197"
"31-03-2014","0.4159"
"30-04-2014","0.422"
"31-05-2014","0.4233"
"30-06-2014","0.4251"
"31-07-2014","0.4283"
"31-08-2014","0.4228"
"30-09-2014","0.4319"
"31-10-2014","0.4308"
"30-11-2014","0.4325"
"31-12-2014","0.428"
"31-01-2015","0.4355"
"28-02-2015","0.4511"
"31-03-2015","0.4568"
"30-04-2015","0.4574"
"31-05-2015","0.462"
"30-06-2015","0.4566"
"31-07-2015","0.4549"
"31-08-2015","0.459"
"30-09-2015","0.4544"
"31-10-2015","0.4622"
"30-11-2015","0.4636"
"31-12-2015","0.4575"
"31-01-2016","0.4659"
"29-02-2016","0.4657"
"31-03-2016","0.4646"
"30-04-2016","0.4663"
"31-05-2016","0.4633"
"30-06-2016","0.4598"
"31-07-2016","0.4577"
"31-08-2016","0.2478"
"30-09-2016","0.213"
"31-10-2016","0.212"
"30-11-2016","0.2108"
"31-12-2016","0.2125"
"31-01-2017","0.2135"
"28-02-2017","0.2106"
"31-03-2017","0.2095"
"30-04-2017","0.2114"
"31-05-2017","0.2126"
"30-06-2017","0.2121"
"31-07-2017","0.2124"
"31-08-2017","0.2132"
"30-09-2017","0.2123"
"31-10-2017","0.211"
"30-11-2017","0.4493"
"31-12-2017","0.4619"
"31-01-2018","0.4631"
"28-02-2018","0.4634"
"31-03-2018","0.4637"
"30-04-2018","0.4617"
"31-05-2018","0.4529"
"30-06-2018","0.4507"
"31-07-2018","0.4545"
"31-08-2018","0.6911"
"30-09-2018","0.7012"
"31-10-2018","0.7011"
"30-11-2018","0.7017"
"31-12-2018","0.7026"
"31-01-2019","0.7053"
"28-02-2019","0.7061"
"31-03-2019","0.7053"
"30-04-2019","0.7081"
"31-05-2019","0.7094"
"30-06-2019","0.7085"
"31-07-2019","0.709"
"31-08-2019","0.7101"
"30-09-2019","0.7098"
"31-10-2019","0.7108"
"30-11-2019","0.7105"
"31-12-2019","0.7101"
"31-01-2020","0.7113"
"29-02-2020","0.7104"
"31-03-2020","0.3192"
"30-04-2020","0.0659"
"31-05-2020","0.0674"
